Date,Country,Competition,HomeTeam,AwayTeam,FT_HomeScore,FT_AwayScore,HT_HomeScore,HT_AwayScore,FT_HomeOdds,FT_DrawOdds,FT_AwayOdds,1H_HomeOdds,1H_DrawOdds,1H_AwayOdds,2H_HomeOdds,2H_DrawOdds,2H_AwayOdds,OU05_Over,OU05_Under,OU15_Over,OU15_Under,OU25_Over,OU25_Under,OU35_Over,OU35_Under,OU45_Over,OU45_Under,BTTS_Yes,BTTS_No,BTTS_1H_Yes,BTTS_1H_No,BTTS_2H_Yes,BTTS_2H_No,DNB_Home,DNB_Away,DC_1X,DC_12,DC_2X,URL
04/05/2023,Italy,Serie A,Lazio,Sassuolo,2,0,1,0,1.67,4.2,5.0,2.2,2.38,5.0,1.95,2.75,4.33,1.03,15.0,1.54,2.73,2.53,1.65,2.88,1.5,5.25,1.2,1.7,2.05,4.33,1.2,3.25,1.33,1.29,3.5,1.17,1.22,2.15,https://www.oddsportal.com/football/italy/serie-a-2022-2023/lazio-sassuolo-IVyOtehi/
04/05/2025,Italy,Serie A,Lecce,Napoli,0,1,0,1,8.0,4.0,1.45,7.5,2.25,2.0,6.5,2.5,1.8,1.09,10.0,1.37,3.4,2.24,1.81,4.14,1.29,8.45,1.1,2.2,1.62,6.0,1.13,4.33,1.2,5.5,1.14,2.63,1.22,1.08,https://www.oddsportal.com/football/italy/serie-a-2024-2025/lecce-napoli-MJAmCTgU/
04/05/2025,Italy,Serie A,Inter,Verona,1,0,1,0,1.45,4.33,7.0,1.95,2.3,7.0,1.8,2.6,6.0,1.06,12.0,2.75,1.51,2.0,1.94,3.43,1.34,6.54,1.13,2.1,1.67,5.5,1.14,4.0,1.22,1.14,5.5,1.1,1.2,2.63,https://www.oddsportal.com/football/italy/serie-a-2024-2025/inter-verona-Eg7uEkPH/
04/05/2025,Italy,Serie A,Monza,Atalanta,0,4,0,2,12.0,6.25,1.22,9.0,2.88,1.62,8.0,3.25,1.5,1.02,26.0,1.57,2.56,1.48,2.83,2.24,1.78,3.67,1.3,1.95,1.8,4.5,1.18,3.4,1.3,10.0,1.06,4.0,1.13,1.05,https://www.oddsportal.com/football/italy/serie-a-2024-2025/monza-atalanta-bHubWWvn/
04/05/2025,Italy,Serie A,Empoli,Lazio,0,1,0,1,4.33,3.5,1.85,5.0,2.1,2.5,4.33,2.38,2.2,1.09,8.5,2.69,1.58,2.31,1.81,4.33,1.3,9.0,1.09,2.0,1.75,5.5,1.14,4.0,1.22,3.25,1.33,1.91,1.29,1.2,https://www.oddsportal.com/football/italy/serie-a-2024-2025/empoli-lazio-pEFOHXPh/
04/06/2023,Italy,Serie A,Cremonese,Salernitana,2,0,1,0,2.6,3.5,2.6,3.1,2.25,3.1,2.75,2.6,2.75,1.04,13.0,1.57,2.57,2.56,1.57,2.87,1.45,5.41,1.18,1.57,2.25,4.0,1.22,2.75,1.4,1.83,1.83,1.5,1.29,1.5,https://www.oddsportal.com/football/italy/serie-a-2022-2023/cremonese-salernitana-QiTl8emI/
04/06/2023,Italy,Serie A,Torino,Inter,0,1,0,1,2.4,3.5,2.88,3.0,2.2,3.4,2.63,2.5,3.0,1.05,11.7,2.83,1.52,2.56,1.58,3.5,1.4,6.5,1.14,1.7,2.05,4.33,1.2,3.25,1.33,1.73,2.0,1.4,1.29,1.53,https://www.oddsportal.com/football/italy/serie-a-2022-2023/torino-inter-QikKNzm5/
04/06/2023,Italy,Serie A,Empoli,Lazio,0,2,0,0,3.75,3.8,1.91,4.0,2.38,2.5,3.6,2.63,2.2,1.03,16.0,1.24,4.79,1.72,2.45,2.8,1.55,5.0,1.22,,,,,4.0,1.22,2.75,1.4,1.83,1.25,1.25,https://www.oddsportal.com/football/italy/serie-a-2022-2023/empoli-lazio-8GIg7F2O/
04/09/2022,Italy,Serie A,Cremonese,Sassuolo,0,0,0,0,2.62,3.5,2.6,3.2,2.3,3.0,2.75,2.62,2.75,1.04,16.0,1.22,4.79,1.68,2.34,2.65,1.55,4.75,1.22,1.53,2.37,4.0,1.22,2.62,1.44,1.9,1.8,1.5,1.28,1.44,https://www.oddsportal.com/football/italy/serie-a-2022-2023/cremonese-sassuolo-KEzocRpf/
04/09/2022,Italy,Serie A,AC Milan,Inter,3,2,1,1,2.7,3.2,2.7,3.2,2.2,3.25,2.75,2.5,2.87,1.06,11.0,1.3,3.75,2.59,1.52,3.3,1.36,6.5,1.13,1.66,2.1,4.5,1.18,3.0,1.36,,,,,,https://www.oddsportal.com/football/italy/serie-a-2022-2023/ac-milan-inter-Yi9ggqpJ/
04/09/2022,Italy,Serie A,Spezia,Bologna,2,2,1,1,3.1,3.25,2.3,3.6,2.2,3.0,3.1,2.5,2.6,1.06,10.6,1.32,3.75,2.59,1.54,3.4,1.36,6.66,1.13,,,4.5,1.18,3.25,1.33,2.2,1.61,1.57,1.33,1.36,https://www.oddsportal.com/football/italy/serie-a-2022-2023/spezia-bologna-6uv8C6ps/
04/09/2022,Italy,Serie A,Lazio,Napoli,1,2,1,1,2.62,3.5,2.55,3.1,2.3,3.1,2.75,2.6,2.75,1.04,13.0,2.39,1.56,1.76,2.24,2.75,1.5,5.0,1.18,1.57,2.25,4.0,1.22,2.75,1.4,1.83,1.83,1.5,1.28,1.44,https://www.oddsportal.com/football/italy/serie-a-2022-2023/lazio-napoli-Kl5kfPUC/
04/09/2023,Italy,Serie A,Torino,Genoa,1,0,0,0,2.0,3.25,4.0,2.75,2.05,4.5,2.38,2.3,4.0,1.1,8.0,2.84,1.5,2.4,1.69,4.5,1.24,9.5,1.07,2.0,1.75,6.0,1.13,3.75,1.25,1.4,2.75,1.22,1.33,1.8,https://www.oddsportal.com/football/italy/serie-a-2023-2024/torino-genoa-UBScfzh6/
04/09/2023,Italy,Serie A,Inter,Fiorentina,4,0,1,0,1.7,3.75,5.0,2.3,2.38,4.75,2.0,2.63,4.33,1.04,13.8,1.54,2.73,2.54,1.65,2.84,1.49,5.11,1.18,1.67,2.1,4.33,1.2,3.0,1.36,1.29,3.5,1.17,1.25,2.1,https://www.oddsportal.com/football/italy/serie-a-2023-2024/inter-fiorentina-rilF2bpQ/
04/09/2023,Italy,Serie A,Empoli,Juventus,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.oddsportal.com/football/italy/serie-a-2023-2024/empoli-juventus-p6VB3vVJ/
04/09/2023,Italy,Serie A,Lecce,Salernitana,2,0,1,0,1.91,3.25,4.33,2.63,2.0,4.75,2.25,2.3,4.33,1.09,8.83,2.73,1.56,2.35,1.74,4.33,1.28,9.0,1.09,2.05,1.7,6.0,1.13,4.0,1.22,1.36,3.0,1.2,1.33,1.83,https://www.oddsportal.com/football/italy/serie-a-2023-2024/lecce-salernitana-0WzsbIhs/
04/10/2009,Italy,Serie A,Bari,Catania,0,0,0,0,2.0,3.3,3.8,2.7,2.1,4.33,,,,1.13,5.0,1.38,3.0,2.29,1.62,4.25,1.22,,,,,,,,,1.4,2.75,1.22,1.3,1.73,https://www.oddsportal.com/football/italy/serie-a-2009-2010/bari-catania-vgk8rz7M/
04/10/2009,Italy,Serie A,Inter,Udinese,2,1,1,1,1.44,4.2,7.5,1.91,2.38,7.0,,,,,,1.25,4.2,1.73,2.08,3.0,1.39,3.25,1.33,,,,,,,1.11,6.0,1.07,1.2,2.63,https://www.oddsportal.com/football/italy/serie-a-2009-2010/inter-udinese-WjUnyhad/
04/10/2015,Italy,Serie A,Chievo,Verona,1,1,0,0,2.1,3.25,3.8,2.88,2.05,4.0,2.5,2.3,3.6,1.09,9.5,1.45,3.25,2.53,1.56,4.1,1.26,9.0,1.09,1.91,1.8,,,,,1.5,2.5,1.29,1.35,1.75,https://www.oddsportal.com/football/italy/serie-a-2015-2016/chievo-verona-MmE7arPp/
04/10/2015,Italy,Serie A,Carpi,Torino,2,1,0,0,3.6,3.2,2.2,4.0,2.05,3.0,3.4,2.3,2.6,1.1,9.1,2.61,1.53,2.3,1.72,4.3,1.24,10.0,1.08,1.91,1.8,,,,,2.38,1.53,1.7,1.36,1.29,https://www.oddsportal.com/football/italy/serie-a-2015-2016/carpi-torino-WdKN9Snh/
04/10/2015,Italy,Serie A,Empoli,Sassuolo,1,0,0,0,2.4,3.3,3.0,3.1,2.05,3.6,2.63,2.38,3.2,1.09,10.5,1.55,2.52,2.16,1.82,4.0,1.28,9.0,1.1,1.83,1.83,,,,,1.67,2.1,1.4,1.34,1.57,https://www.oddsportal.com/football/italy/serie-a-2015-2016/empoli-sassuolo-AmJR8n2b/
04/10/2020,Italy,Serie A,Atalanta,Cagliari,5,2,4,1,1.25,6.5,10.0,1.61,3.0,7.0,1.44,3.6,7.5,1.02,34.0,1.11,8.0,1.34,3.66,1.88,2.15,2.95,1.5,1.61,2.2,3.55,1.3,2.63,1.49,1.07,9.0,1.06,1.11,3.75,https://www.oddsportal.com/football/italy/serie-a-2020-2021/atalanta-cagliari-rBrXmyAF/
04/10/2020,Italy,Serie A,Udinese,AS Roma,0,1,0,0,4.0,3.75,1.85,4.0,2.3,2.5,3.6,2.62,2.2,1.05,14.0,1.24,4.66,1.76,2.26,2.88,1.5,5.3,1.19,1.66,2.1,4.1,1.24,2.84,1.43,2.75,1.4,1.83,1.25,1.22,https://www.oddsportal.com/football/italy/serie-a-2020-2021/udinese-as-roma-4tL31fvF/
04/10/2022,Italy,Serie A,Verona,Udinese,1,2,1,0,3.4,3.4,2.15,3.75,2.25,2.75,3.25,2.6,2.4,1.05,12.0,1.53,2.59,1.81,2.13,3.0,1.44,5.66,1.16,1.61,2.2,4.33,1.2,3.0,1.36,2.5,1.5,1.66,1.3,1.3,https://www.oddsportal.com/football/italy/serie-a-2022-2023/verona-udinese-zaMiXbSN/
04/10/2025,Italy,Serie A,Lazio,Torino,3,3,2,1,2.1,3.1,3.8,2.75,2.1,4.33,2.4,2.3,3.6,1.07,9.4,1.38,3.24,2.54,1.59,4.0,1.29,8.25,1.09,1.91,1.91,5.0,1.17,3.5,1.29,1.44,2.63,1.25,1.36,1.7,https://www.oddsportal.com/football/italy/serie-a/lazio-torino-pn5spRuK/
04/10/2025,Italy,Serie A,Verona,Sassuolo,0,1,0,0,2.3,3.0,3.3,3.0,2.05,3.75,2.75,2.25,3.25,1.1,8.2,2.76,1.51,2.36,1.67,4.37,1.26,9.0,1.08,1.95,1.8,5.5,1.14,3.75,1.25,1.57,2.25,1.33,1.36,1.57,https://www.oddsportal.com/football/italy/serie-a/verona-sassuolo-4C3VY0XI/
04/10/2025,Italy,Serie A,Parma,Lecce,0,1,0,1,1.85,3.4,4.5,2.5,2.1,5.0,2.25,2.3,4.33,1.09,8.6,2.72,1.52,2.36,1.68,4.37,1.25,9.0,1.09,2.0,1.75,5.5,1.14,4.0,1.22,1.33,3.25,1.18,1.3,1.91,https://www.oddsportal.com/football/italy/serie-a/parma-lecce-xppMxqYg/
04/11/2012,Italy,Serie A,AC Milan,Chievo,5,1,3,1,1.5,4.0,7.0,2.04,2.2,7.0,1.83,2.5,6.0,1.06,10.0,1.33,3.35,2.1,1.8,3.75,1.27,8.0,1.1,,,,,,,1.17,5.0,1.08,1.22,2.5,https://www.oddsportal.com/football/italy/serie-a-2012-2013/ac-milan-chievo-buzgfQhB/
